True
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1           [-1, 64, 28, 28]             576
       BatchNorm2d-2           [-1, 64, 28, 28]             128
              ReLU-3           [-1, 64, 28, 28]               0
            Conv2d-4          [-1, 128, 28, 28]          73,728
       BatchNorm2d-5          [-1, 128, 28, 28]             256
              ReLU-6          [-1, 128, 28, 28]               0
            Conv2d-7          [-1, 128, 28, 28]         147,456
       BatchNorm2d-8          [-1, 128, 28, 28]             256
              ReLU-9          [-1, 128, 28, 28]               0
           Conv2d-10          [-1, 128, 28, 28]         147,456
      BatchNorm2d-11          [-1, 128, 28, 28]             256
             ReLU-12          [-1, 128, 28, 28]               0
        MaxPool2d-13          [-1, 128, 14, 14]               0
           Conv2d-14          [-1, 128, 14, 14]         147,456
      BatchNorm2d-15          [-1, 128, 14, 14]             256
             ReLU-16          [-1, 128, 14, 14]               0
           Conv2d-17          [-1, 128, 14, 14]         147,456
      BatchNorm2d-18          [-1, 128, 14, 14]             256
             ReLU-19          [-1, 128, 14, 14]               0
           Conv2d-20          [-1, 256, 14, 14]         294,912
      BatchNorm2d-21          [-1, 256, 14, 14]             512
             ReLU-22          [-1, 256, 14, 14]               0
        MaxPool2d-23            [-1, 256, 7, 7]               0
           Conv2d-24            [-1, 256, 7, 7]         589,824
      BatchNorm2d-25            [-1, 256, 7, 7]             512
             ReLU-26            [-1, 256, 7, 7]               0
           Conv2d-27            [-1, 256, 7, 7]         589,824
      BatchNorm2d-28            [-1, 256, 7, 7]             512
             ReLU-29            [-1, 256, 7, 7]               0
           Conv2d-30            [-1, 512, 7, 7]         131,072
      BatchNorm2d-31            [-1, 512, 7, 7]           1,024
             ReLU-32            [-1, 512, 7, 7]               0
           Conv2d-33            [-1, 512, 7, 7]       2,359,296
      BatchNorm2d-34            [-1, 512, 7, 7]           1,024
             ReLU-35            [-1, 512, 7, 7]               0
           Conv2d-36           [-1, 2048, 7, 7]       1,048,576
      BatchNorm2d-37           [-1, 2048, 7, 7]           4,096
             ReLU-38           [-1, 2048, 7, 7]               0
           Conv2d-39            [-1, 512, 7, 7]       1,048,576
      BatchNorm2d-40            [-1, 512, 7, 7]           1,024
             ReLU-41            [-1, 512, 7, 7]               0
           Conv2d-42            [-1, 256, 7, 7]       1,179,648
      BatchNorm2d-43            [-1, 256, 7, 7]             512
             ReLU-44            [-1, 256, 7, 7]               0
        AvgPool2d-45            [-1, 256, 1, 1]               0
           Linear-46                   [-1, 10]           2,570
================================================================
Total params: 7,919,050
Trainable params: 7,919,050
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 15.51
Params size (MB): 30.21
Estimated Total Size (MB): 45.72
----------------------------------------------------------------
None
0 0.1393635119871258 	 0.9583160166850175 	 0.04184230704559013 	 0.987890625
1 0.029260414758818628 	 0.9910965473450664 	 0.029031815743655896 	 0.99140625
2 0.020310064984659384 	 0.9939458120204604 	 0.04195848198323802 	 0.988671875
3 0.01586750744814601 	 0.99528452685422 	 0.027485266754956682 	 0.992578125
4 0.012355436399147924 	 0.9964514066801047 	 0.03854783762144507 	 0.98916015625
5 0.010881248189781286 	 0.9966432225063938 	 0.0251885807596409 	 0.9927734375
6 0.008216844665047669 	 0.9973705243271636 	 0.018784176349072368 	 0.99453125
7 0.006164563756831803 	 0.9981218030690537 	 0.04404445565014612 	 0.9869140625
8 0.005722768799029053 	 0.998261668797954 	 0.027335441399918635 	 0.9935546875
9 0.003840019989772426 	 0.9988411125319693 	 0.02098367477319698 	 0.994921875
10 0.004467070710075938 	 0.9983695652478796 	 0.024921291734790428 	 0.993359375
11 0.003700415472644578 	 0.9989410166240409 	 0.01815970371876574 	 0.9953125
12 0.0013809537112372994 	 0.9996403452685422 	 0.0188817145343819 	 0.9955078125
13 0.0017998059149268064 	 0.9994804987212276 	 0.019007894148262493 	 0.9955078125
14 0.0007506447509885408 	 0.9998601342710998 	 0.017145405717997164 	 0.9962890625
15 0.0005995187972387349 	 0.999880115089514 	 0.014576246385445302 	 0.996484375
16 0.0006401178941586623 	 0.999880115089514 	 0.01507797907947861 	 0.996875
17 0.0003345919685671106 	 0.9999600383631714 	 0.016063080256901684 	 0.9966796875
18 0.0004187669036468542 	 0.999940057544757 	 0.015877832553769622 	 0.99638671875
19 0.0001969991903759532 	 0.9999800191815856 	 0.015484469379350685 	 0.996875
20 0.00019313320645753145 	 1.0 	 0.015315768138759723 	 0.996875
21 0.00011412319830194002 	 1.0 	 0.015026030552735391 	 0.99658203125
22 0.0001506426993295733 	 0.9999800191815856 	 0.01739494476892105 	 0.996484375
23 0.00028468320098323145 	 0.9999600383631714 	 0.015738104282979747 	 0.9970703125
24 7.177593967621051e-05 	 1.0 	 0.015303719875021216 	 0.9966796875
25 0.0003615210161745467 	 0.9999000959079284 	 0.015756006717879245 	 0.99716796875
26 0.0013571147045069684 	 0.9996003836317136 	 0.02401915502422298 	 0.99453125
27 0.0025629972043853086 	 0.9993206521739131 	 0.02206110911693031 	 0.99365234375
28 0.0019331499718360122 	 0.9994804987212276 	 0.02319452194060432 	 0.99521484375
29 0.0006916819159453988 	 0.9998401534526854 	 0.01953504960970349 	 0.9958984375
30 0.00027380566206307625 	 0.999940057544757 	 0.01913921908571865 	 0.99560546875
31 0.0009428766084533251 	 0.9997602301790282 	 0.02117492038335058 	 0.9955078125
32 0.0003131719994624412 	 0.9999600383631714 	 0.019188489071359525 	 0.99599609375
