True
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1           [-1, 64, 28, 28]             576
       BatchNorm2d-2           [-1, 64, 28, 28]             128
              ReLU-3           [-1, 64, 28, 28]               0
            Conv2d-4          [-1, 128, 28, 28]          73,728
       BatchNorm2d-5          [-1, 128, 28, 28]             256
              ReLU-6          [-1, 128, 28, 28]               0
            Conv2d-7          [-1, 128, 28, 28]         147,456
       BatchNorm2d-8          [-1, 128, 28, 28]             256
              ReLU-9          [-1, 128, 28, 28]               0
           Conv2d-10          [-1, 128, 28, 28]         147,456
      BatchNorm2d-11          [-1, 128, 28, 28]             256
             ReLU-12          [-1, 128, 28, 28]               0
        MaxPool2d-13          [-1, 128, 14, 14]               0
           Conv2d-14          [-1, 128, 14, 14]         147,456
      BatchNorm2d-15          [-1, 128, 14, 14]             256
             ReLU-16          [-1, 128, 14, 14]               0
           Conv2d-17          [-1, 128, 14, 14]         147,456
      BatchNorm2d-18          [-1, 128, 14, 14]             256
             ReLU-19          [-1, 128, 14, 14]               0
           Conv2d-20          [-1, 256, 14, 14]         294,912
      BatchNorm2d-21          [-1, 256, 14, 14]             512
             ReLU-22          [-1, 256, 14, 14]               0
        MaxPool2d-23            [-1, 256, 7, 7]               0
           Conv2d-24            [-1, 256, 7, 7]         589,824
      BatchNorm2d-25            [-1, 256, 7, 7]             512
             ReLU-26            [-1, 256, 7, 7]               0
           Conv2d-27            [-1, 256, 7, 7]         589,824
      BatchNorm2d-28            [-1, 256, 7, 7]             512
             ReLU-29            [-1, 256, 7, 7]               0
           Conv2d-30            [-1, 512, 7, 7]         131,072
      BatchNorm2d-31            [-1, 512, 7, 7]           1,024
             ReLU-32            [-1, 512, 7, 7]               0
           Conv2d-33            [-1, 512, 7, 7]       2,359,296
      BatchNorm2d-34            [-1, 512, 7, 7]           1,024
             ReLU-35            [-1, 512, 7, 7]               0
           Conv2d-36           [-1, 2048, 7, 7]       1,048,576
      BatchNorm2d-37           [-1, 2048, 7, 7]           4,096
             ReLU-38           [-1, 2048, 7, 7]               0
           Conv2d-39            [-1, 512, 7, 7]       1,048,576
      BatchNorm2d-40            [-1, 512, 7, 7]           1,024
             ReLU-41            [-1, 512, 7, 7]               0
           Conv2d-42            [-1, 256, 7, 7]       1,179,648
      BatchNorm2d-43            [-1, 256, 7, 7]             512
             ReLU-44            [-1, 256, 7, 7]               0
        AvgPool2d-45            [-1, 256, 1, 1]               0
           Linear-46                   [-1, 10]           2,570
================================================================
Total params: 7,919,050
Trainable params: 7,919,050
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 15.51
Params size (MB): 30.21
Estimated Total Size (MB): 45.72
----------------------------------------------------------------
None
0 0.12675472171768545 	 0.96502 	 0.026361657931772878 	 0.9923123003194888
1 0.03995027904549613 	 0.9884 	 0.02777093768124647 	 0.9921126198083067
2 0.02801027990962379 	 0.99216 	 0.03333714847408678 	 0.9906150159744409
3 0.02151428142031655 	 0.99374 	 0.018661689127798375 	 0.9946086261980831
4 0.017046015202598647 	 0.99472 	 0.021130743013068547 	 0.9943091054313099
5 0.012415565512864851 	 0.99644 	 0.018284787913792195 	 0.9955071884984026
6 0.009919625008997974 	 0.99694 	 0.020122844007689305 	 0.9942092651757188
7 0.007891740537160076 	 0.99766 	 0.01713530355438195 	 0.9948083067092651
8 0.006982073799779173 	 0.99812 	 0.023720572045704828 	 0.9937100638977636
9 0.005561833177973749 	 0.99842 	 0.017486065793851747 	 0.9956070287539937
10 0.005679726610736688 	 0.99836 	 0.02026680491909732 	 0.9949081469648562
11 0.004264490651106462 	 0.99878 	 0.01868891675913589 	 0.9956070287539937
12 0.00165372457430989 	 0.99958 	 0.01712704031677323 	 0.9959065495207667
13 0.0029218888792657527 	 0.9992 	 0.019487545339249023 	 0.9948083067092651
14 0.0025854391283117004 	 0.99932 	 0.023534839343146263 	 0.9947084664536742
15 0.0019331991799391107 	 0.99946 	 0.017453147763747935 	 0.9957068690095847
16 0.0017430403733046842 	 0.9994 	 0.019161567058979187 	 0.9955071884984026
17 0.002695307167216088 	 0.99918 	 0.019181155791222943 	 0.9954073482428115
18 0.0028792212460516022 	 0.99914 	 0.02378513000603736 	 0.9951078274760383
19 0.001321718319755164 	 0.9997 	 0.017931345983858153 	 0.9960063897763578
20 0.0020210467243922175 	 0.99942 	 0.017838619344386648 	 0.9961062300319489
21 0.0006402207962519606 	 0.99994 	 0.019579083769695745 	 0.9957068690095847
22 0.0013969412416531123 	 0.99962 	 0.01626680535583363 	 0.9967052715654952
23 0.0011787540313898353 	 0.9997 	 0.01885864446449442 	 0.9959065495207667
24 0.0008915315775529598 	 0.99968 	 0.020094847558248613 	 0.9961062300319489
25 0.001397909547604504 	 0.99962 	 0.018801912401944915 	 0.9959065495207667
26 0.0007946691090564127 	 0.99986 	 0.018769088954083017 	 0.9961062300319489
27 0.0006777542191532847 	 0.9999 	 0.017616954949528717 	 0.9964057507987221
28 0.0004257020748979994 	 0.99994 	 0.01758244586916424 	 0.996305910543131
29 0.00013429090349032776 	 1.0 	 0.01763319062684458 	 0.996305910543131
30 0.00011012424685060978 	 1.0 	 0.017344530561957526 	 0.9967052715654952
31 7.915670516871614e-05 	 1.0 	 0.017329440115373726 	 0.9968051118210862
32 8.799963501849561e-05 	 1.0 	 0.017771856797793088 	 0.996305910543131
33 0.00017112675539334305 	 0.99998 	 0.018040481786200532 	 0.9959065495207667
