True
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1           [-1, 64, 28, 28]             576
       BatchNorm2d-2           [-1, 64, 28, 28]             128
              ReLU-3           [-1, 64, 28, 28]               0
            Conv2d-4          [-1, 128, 28, 28]          73,728
       BatchNorm2d-5          [-1, 128, 28, 28]             256
              ReLU-6          [-1, 128, 28, 28]               0
            Conv2d-7          [-1, 128, 28, 28]         147,456
       BatchNorm2d-8          [-1, 128, 28, 28]             256
              ReLU-9          [-1, 128, 28, 28]               0
           Conv2d-10          [-1, 128, 28, 28]         147,456
      BatchNorm2d-11          [-1, 128, 28, 28]             256
             ReLU-12          [-1, 128, 28, 28]               0
        MaxPool2d-13          [-1, 128, 14, 14]               0
           Conv2d-14          [-1, 128, 14, 14]         147,456
      BatchNorm2d-15          [-1, 128, 14, 14]             256
             ReLU-16          [-1, 128, 14, 14]               0
           Conv2d-17          [-1, 128, 14, 14]         147,456
      BatchNorm2d-18          [-1, 128, 14, 14]             256
             ReLU-19          [-1, 128, 14, 14]               0
           Conv2d-20          [-1, 256, 14, 14]         294,912
      BatchNorm2d-21          [-1, 256, 14, 14]             512
             ReLU-22          [-1, 256, 14, 14]               0
        MaxPool2d-23            [-1, 256, 7, 7]               0
           Conv2d-24            [-1, 256, 7, 7]         589,824
      BatchNorm2d-25            [-1, 256, 7, 7]             512
             ReLU-26            [-1, 256, 7, 7]               0
           Conv2d-27            [-1, 256, 7, 7]         589,824
      BatchNorm2d-28            [-1, 256, 7, 7]             512
             ReLU-29            [-1, 256, 7, 7]               0
           Conv2d-30            [-1, 512, 7, 7]         131,072
      BatchNorm2d-31            [-1, 512, 7, 7]           1,024
             ReLU-32            [-1, 512, 7, 7]               0
           Conv2d-33            [-1, 512, 7, 7]       2,359,296
      BatchNorm2d-34            [-1, 512, 7, 7]           1,024
             ReLU-35            [-1, 512, 7, 7]               0
           Conv2d-36           [-1, 2048, 7, 7]       1,048,576
      BatchNorm2d-37           [-1, 2048, 7, 7]           4,096
             ReLU-38           [-1, 2048, 7, 7]               0
           Conv2d-39            [-1, 512, 7, 7]       1,048,576
      BatchNorm2d-40            [-1, 512, 7, 7]           1,024
             ReLU-41            [-1, 512, 7, 7]               0
           Conv2d-42            [-1, 256, 7, 7]       1,179,648
      BatchNorm2d-43            [-1, 256, 7, 7]             512
             ReLU-44            [-1, 256, 7, 7]               0
        AvgPool2d-45            [-1, 256, 1, 1]               0
           Linear-46                   [-1, 10]           2,570
================================================================
Total params: 7,919,050
Trainable params: 7,919,050
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 15.51
Params size (MB): 30.21
Estimated Total Size (MB): 45.72
----------------------------------------------------------------
None
0 0.1280171213044226 	 0.96476 	 0.030267804042907052 	 0.9920127795527156
1 0.0397567367714271 	 0.98846 	 0.025601669916691192 	 0.9924121405750799
2 0.026776446404592133 	 0.99226 	 0.026648757894054433 	 0.9928115015974441
3 0.02041062945880927 	 0.99372 	 0.022079237777813777 	 0.9929113418530351
4 0.01581320775307715 	 0.99542 	 0.0253850633895481 	 0.9929113418530351
5 0.013273835222111084 	 0.9958 	 0.021070444362722308 	 0.9941094249201278
6 0.00952828225733945 	 0.99734 	 0.020680979784631924 	 0.9946086261980831
7 0.008085606519444845 	 0.99772 	 0.0190466575800913 	 0.9950079872204473
8 0.006834139538540039 	 0.99794 	 0.022012370359703482 	 0.9935103833865815
9 0.0050263531645631885 	 0.99866 	 0.01668128870117183 	 0.9961062300319489
10 0.00502107765549561 	 0.99842 	 0.019170024186242487 	 0.9955071884984026
11 0.003996971637095558 	 0.999 	 0.018431573027154723 	 0.9953075079872205
12 0.0037102532614406666 	 0.99896 	 0.01885500122190393 	 0.9952076677316294
13 0.004107210324594634 	 0.99882 	 0.021916847875674283 	 0.9954073482428115
14 0.003154949414859875 	 0.99918 	 0.01676474282210463 	 0.9962060702875399
15 0.0017026408586255275 	 0.99946 	 0.01607440520406896 	 0.9964057507987221
16 0.0007727175502269529 	 0.99988 	 0.016382379901251885 	 0.9966054313099042
17 0.0007873194368806435 	 0.9998 	 0.018553485674209415 	 0.9960063897763578
18 0.002017487664289947 	 0.9995 	 0.01949564179378907 	 0.9955071884984026
19 0.0030433529600169275 	 0.99908 	 0.02648736641831623 	 0.9943091054313099
20 0.003298658463987813 	 0.99902 	 0.01912924371979247 	 0.9953075079872205
21 0.0018364854321803433 	 0.99952 	 0.020694501264565894 	 0.9947084664536742
22 0.0015882152256625705 	 0.99956 	 0.021445378807662802 	 0.9948083067092651
23 0.002073672259737796 	 0.99936 	 0.02172885825795686 	 0.9955071884984026
24 0.0016993392078237957 	 0.99952 	 0.023023568547536104 	 0.994508785942492
25 0.0014387810483641806 	 0.99964 	 0.01868242552157603 	 0.9959065495207667
26 0.0010781404412799748 	 0.9997 	 0.018029283534059987 	 0.9957068690095847
27 0.0010458428736260976 	 0.99974 	 0.022144441216398216 	 0.9956070287539937
28 0.0010326775835834269 	 0.99964 	 0.02087989923279202 	 0.9960063897763578
29 0.00039161219885136236 	 0.99992 	 0.020045897711352387 	 0.9967052715654952
30 0.0003730701287035481 	 0.99996 	 0.019977780946148483 	 0.9961062300319489
31 0.00020194956669249224 	 1.0 	 0.020535051230356108 	 0.9962060702875399
32 0.00043863076122856 	 0.99992 	 0.020486866976818837 	 0.9958067092651757
33 0.00015255310426597133 	 1.0 	 0.019676921275956195 	 0.9959065495207667
34 8.751451103700674e-05 	 1.0 	 0.019539882276270314 	 0.9961062300319489
35 7.663215594162467e-05 	 1.0 	 0.019469867489581443 	 0.9961062300319489
36 6.487547270415234e-05 	 1.0 	 0.019155311370251348 	 0.9962060702875399
37 6.822017931670417e-05 	 1.0 	 0.02020342448528105 	 0.9958067092651757
38 7.952196883205034e-05 	 1.0 	 0.020137984621288952 	 0.9959065495207667
39 6.097239863796858e-05 	 1.0 	 0.018958091340434843 	 0.9967052715654952
40 0.0005106278726302844 	 0.9999 	 0.02005989211561529 	 0.9958067092651757
41 0.0001903176306962996 	 0.99996 	 0.019175630348033015 	 0.9964057507987221
42 7.427990796481027e-05 	 1.0 	 0.01919083312592678 	 0.996305910543131
43 7.623605329616111e-05 	 1.0 	 0.019490357026385005 	 0.9965055910543131
44 0.00010576677279030263 	 0.99998 	 0.02107385901566328 	 0.9966054313099042
45 0.0001582809431978967 	 0.99998 	 0.022522599330223863 	 0.9956070287539937
46 5.6674293781834424e-05 	 1.0 	 0.021254452455107962 	 0.9961062300319489
47 8.14126636855508e-05 	 1.0 	 0.02198837803740671 	 0.9960063897763578
48 4.378853254347632e-05 	 1.0 	 0.020978308883463696 	 0.9961062300319489
49 3.5661655931326096e-05 	 1.0 	 0.02089036515046984 	 0.9961062300319489
50 4.179021033367462e-05 	 1.0 	 0.021022881046067046 	 0.9962060702875399
51 4.0212220614921534e-05 	 1.0 	 0.020513252894896944 	 0.9962060702875399
52 4.379867450727033e-05 	 1.0 	 0.02092542291121897 	 0.9962060702875399
53 4.6120959184045205e-05 	 1.0 	 0.021404301491338047 	 0.9956070287539937
54 0.0004437256235654786 	 0.99992 	 0.02079363002224181 	 0.9959065495207667
55 5.944530550164927e-05 	 1.0 	 0.020974159145522822 	 0.9960063897763578
56 4.2602982263560986e-05 	 1.0 	 0.021123063624302926 	 0.9960063897763578
57 6.426683943758689e-05 	 1.0 	 0.021636601617516113 	 0.9960063897763578
58 3.544658056118351e-05 	 1.0 	 0.020910847323524485 	 0.9961062300319489
59 3.076324299669068e-05 	 1.0 	 0.02138879964233323 	 0.9960063897763578
60 3.2017077512282415e-05 	 1.0 	 0.020890426622418017 	 0.9959065495207667
61 4.6544557164270375e-05 	 1.0 	 0.02126998827132741 	 0.9962060702875399
62 4.6181282542202095e-05 	 1.0 	 0.019934110733272815 	 0.9964057507987221
63 2.9874932873281067e-05 	 1.0 	 0.021139073413684664 	 0.9960063897763578
64 6.855555958605692e-05 	 1.0 	 0.02013175552164671 	 0.9960063897763578
65 4.189389672479592e-05 	 1.0 	 0.02068012271232287 	 0.9959065495207667
66 3.3079156835665345e-05 	 1.0 	 0.020025848973154178 	 0.996305910543131
67 3.3767599522834647e-05 	 1.0 	 0.020560197141248255 	 0.9965055910543131
68 0.001452219506968795 	 0.99964 	 0.021043070775956907 	 0.9956070287539937
69 0.0026984516531930423 	 0.99912 	 0.01999286082778031 	 0.9956070287539937
70 0.0005567791766244045 	 0.99992 	 0.017452161602528497 	 0.9966054313099042
71 0.0011127093753428925 	 0.9997 	 0.018857145245461948 	 0.9954073482428115
72 0.00038192964753478006 	 0.99986 	 0.018261882345173806 	 0.9972044728434505
73 0.00010912801353726536 	 0.99998 	 0.01822061629433539 	 0.9967052715654952
74 8.578547062366851e-05 	 1.0 	 0.018876019656721917 	 0.9967052715654952
75 5.7544029257114746e-05 	 1.0 	 0.018901478282218224 	 0.9968051118210862
76 4.126250924928172e-05 	 1.0 	 0.01913510138974569 	 0.9967052715654952
77 4.581953749533568e-05 	 1.0 	 0.018356513546812277 	 0.9969049520766773
78 4.528382995216816e-05 	 1.0 	 0.018927190275510215 	 0.9968051118210862
79 3.753046221361728e-05 	 1.0 	 0.01855502841392107 	 0.9968051118210862
80 4.0441335031027844e-05 	 1.0 	 0.018614771954685673 	 0.9968051118210862
81 4.144281365537609e-05 	 1.0 	 0.018468623055885897 	 0.9968051118210862
82 3.405370847933227e-05 	 1.0 	 0.019070509109369436 	 0.9964057507987221
83 2.6968040397623553e-05 	 1.0 	 0.018700080082227212 	 0.9968051118210862
84 2.58252712446847e-05 	 1.0 	 0.01899573438880378 	 0.9966054313099042
