True
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1           [-1, 64, 28, 28]             576
       BatchNorm2d-2           [-1, 64, 28, 28]             128
              ReLU-3           [-1, 64, 28, 28]               0
            Conv2d-4          [-1, 128, 28, 28]          73,728
       BatchNorm2d-5          [-1, 128, 28, 28]             256
              ReLU-6          [-1, 128, 28, 28]               0
            Conv2d-7          [-1, 128, 28, 28]         147,456
       BatchNorm2d-8          [-1, 128, 28, 28]             256
              ReLU-9          [-1, 128, 28, 28]               0
           Conv2d-10          [-1, 128, 28, 28]         147,456
      BatchNorm2d-11          [-1, 128, 28, 28]             256
             ReLU-12          [-1, 128, 28, 28]               0
        MaxPool2d-13          [-1, 128, 14, 14]               0
           Conv2d-14          [-1, 128, 14, 14]         147,456
      BatchNorm2d-15          [-1, 128, 14, 14]             256
             ReLU-16          [-1, 128, 14, 14]               0
           Conv2d-17          [-1, 128, 14, 14]         147,456
      BatchNorm2d-18          [-1, 128, 14, 14]             256
             ReLU-19          [-1, 128, 14, 14]               0
           Conv2d-20          [-1, 256, 14, 14]         294,912
      BatchNorm2d-21          [-1, 256, 14, 14]             512
             ReLU-22          [-1, 256, 14, 14]               0
        MaxPool2d-23            [-1, 256, 7, 7]               0
           Conv2d-24            [-1, 256, 7, 7]         589,824
      BatchNorm2d-25            [-1, 256, 7, 7]             512
             ReLU-26            [-1, 256, 7, 7]               0
           Conv2d-27            [-1, 256, 7, 7]         589,824
      BatchNorm2d-28            [-1, 256, 7, 7]             512
             ReLU-29            [-1, 256, 7, 7]               0
           Conv2d-30            [-1, 512, 7, 7]         131,072
      BatchNorm2d-31            [-1, 512, 7, 7]           1,024
             ReLU-32            [-1, 512, 7, 7]               0
           Conv2d-33            [-1, 512, 7, 7]       2,359,296
      BatchNorm2d-34            [-1, 512, 7, 7]           1,024
             ReLU-35            [-1, 512, 7, 7]               0
           Conv2d-36           [-1, 2048, 7, 7]       1,048,576
      BatchNorm2d-37           [-1, 2048, 7, 7]           4,096
             ReLU-38           [-1, 2048, 7, 7]               0
           Conv2d-39            [-1, 512, 7, 7]       1,048,576
      BatchNorm2d-40            [-1, 512, 7, 7]           1,024
             ReLU-41            [-1, 512, 7, 7]               0
           Conv2d-42            [-1, 256, 7, 7]       1,179,648
      BatchNorm2d-43            [-1, 256, 7, 7]             512
             ReLU-44            [-1, 256, 7, 7]               0
        AvgPool2d-45            [-1, 256, 1, 1]               0
           Linear-46                   [-1, 10]           2,570
================================================================
Total params: 7,919,050
Trainable params: 7,919,050
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 15.51
Params size (MB): 30.21
Estimated Total Size (MB): 45.72
----------------------------------------------------------------
None
0 0.14503073507843686 	 0.9575407608695652 	 0.05171758963842876 	 0.98544921875
1 0.02863181022214977 	 0.9913682864450127 	 0.028749332667212003 	 0.99189453125
2 0.019774318949910132 	 0.9941416241018973 	 0.02221123027629801 	 0.99306640625
3 0.01589790703576949 	 0.9952125959384167 	 0.031184812489664183 	 0.99072265625
4 0.012675282995641121 	 0.9960437979539642 	 0.03061664041415497 	 0.99169921875
5 0.00938249627233047 	 0.9970108695957057 	 0.019550825805163187 	 0.9943359375
6 0.00758805388783175 	 0.9976822250639387 	 0.02314483686177482 	 0.99404296875
7 0.004466628634540276 	 0.9986692775240944 	 0.020441594156000064 	 0.9951171875
8 0.004083547746236233 	 0.9987811700767263 	 0.022339339538666535 	 0.99384765625
9 0.003917543996141686 	 0.9988011508951407 	 0.019627092886503307 	 0.99453125
10 0.003504711023378594 	 0.9988610933503836 	 0.015980279452787727 	 0.99580078125
11 0.00240256935396009 	 0.9994005754475703 	 0.020999014167500718 	 0.994921875
12 0.002841936789977494 	 0.9990609015345269 	 0.021716280343025574 	 0.99501953125
13 0.0016411972363297666 	 0.9996403452685422 	 0.020574786069028052 	 0.99501953125
14 0.00047203146440112165 	 0.999940057544757 	 0.017728269777830975 	 0.99580078125
15 0.000478178732312227 	 0.9999200767263428 	 0.017647968851997577 	 0.99560546875
16 0.0002811434389393078 	 1.0 	 0.01650923910539177 	 0.99638671875
17 0.0005206911299820973 	 0.999880115089514 	 0.01727407504145049 	 0.99599609375
18 0.0002997084199898633 	 0.9999600383631714 	 0.01861164621000171 	 0.99609375
19 0.00023681958189119954 	 0.9999800191815856 	 0.018585787943322885 	 0.99599609375
20 0.0003232255623580942 	 0.9999480499026111 	 0.017982307133934228 	 0.99599609375
21 0.0005087794036316924 	 0.999880115089514 	 0.0172612003893164 	 0.9962890625
22 0.000111108082838164 	 1.0 	 0.017132914935257305 	 0.99619140625
23 8.53825225410319e-05 	 1.0 	 0.01757490621954503 	 0.99619140625
24 7.199533294270854e-05 	 1.0 	 0.01786461135869786 	 0.99638671875
25 6.068682978366269e-05 	 1.0 	 0.017579731499210993 	 0.99599609375
26 6.206424316417996e-05 	 1.0 	 0.017732299376507398 	 0.99609375
27 6.0737951556235165e-05 	 1.0 	 0.017764932661179955 	 0.99638671875
28 4.766891635737404e-05 	 1.0 	 0.018136066206056966 	 0.9962890625
29 4.970488611587641e-05 	 1.0 	 0.018237354684424646 	 0.996484375
30 4.3505350763122674e-05 	 1.0 	 0.017819641374148886 	 0.99638671875
31 4.2987835746093404e-05 	 1.0 	 0.017995042606207788 	 0.99619140625
32 0.00020100649966656758 	 0.9999600383631714 	 0.01816151560325352 	 0.99638671875
